date,city,time,temperature_c,feels_like_c,humidity_pct,wind_speed_ms,wind_direction,gust_speed_ms,visibility_km,pressure_hpa,precipitation_mm,uv_index,aqi,condition
2025-07-26,三亚,05:00,,-0.7,nan,12.2,东南风,32.0,17.3,1007.7,NA,8,59,nan
2025-01-04,青岛,17:00,-6.1,-3.7,26,5.4,东风,18.8,4.0,None,23.7,1,nan,晴
2025-03-11,武汉,01:00,20.7,16.1,36,17.4,东风,29.3,3.4,NAN,None,3,178,小雨
2025-03-02,青岛,05:00,22.6,-14.4,63,10.0,西风,32.9,NAN,1023.3,22.2,NA,NA,大雨
2025-05-08,哈尔滨,02:00,32.4,NAN,61,13.3,南风,13.1,16.6,1002.7,43.1,11,209,小雨
2025-07-01,武汉,21:00,22.1,-0.1,49,21.5,nan,9.7,19.0,1039.4,40.3,4,228,雾
2025-11-20,三亚,09:00,,,27,9.2,,39.7,8.3,None,45.1,11,229,阴
2025-04-17,天津,22:00,8.4,38.4,100,,东南风,null,10.1,1024.0,26.7,9,nan,晴
2025-01-25,南京,17:00,NaN,-11.7,49,NAN,None,NAN,13.2,984.9,36.2,2,31,雷阵雨
2025-04-29,三亚,05:00,NAN,31.1,59,2.8,NA,32.1,19.8,1024.0,44.5,2,100,大雨
NaN,北京,09:00,,35.2,57,12.3,北风,25.0,7.0,null,None,11,162,雷阵雨
2025-04-27,昆明,01:00,0.2,-5.7,,None,NAN,9.0,3.4,982.1,49.6,2,189,小雪
2025-02-16,成都,07:00,25.2,nan,45,4.3,NA,11.7,13.6,1032.2,11.7,10,217,多云
2025-06-15,厦门,15:00,-0.9,,60,1.2,南风,nan,6.3,986.8,7.1,,28,阴
NAN,大连,07:00,15.8,None,63,,NaN,5.1,14.7,1013.5,28.0,5,74,
2025-04-23,三亚,03:00,3.0,NA,76,15.0,,12.7,18.1,1005.5,16.0,9,69,雷阵雨
2025-02-04,西安,14:00,25.6,18.9,26,15.9,东南风,27.2,0.8,999.2,NaN,None,161,雷阵雨
2025-04-05,大连,20:00,-5.4,15.0,40,nan,东北风,16.9,12.2,1039.8,15.3,None,250,小雨
2025-03-07,南京,19:00,7.0,-2.1,38,8.4,西风,5.1,,991.7,38.8,NAN,nan,
null,武汉,09:00,9.4,10.3,81,8.7,北风,28.4,13.6,992.5,26.2,7,192,雾
2025-10-01,北京,19:00,NaN,-12.4,91,9.1,东北风,13.2,7.2,989.5,4.6,8,205,雷阵雨
2025-04-15,青岛,04:00,-7.0,37.4,60,14.8,南风,12.5,3.1,1030.5,35.1,0,288,小雨
2025-10-10,重庆,13:00,NAN,-13.3,81,12.5,null,32.1,11.4,1018.6,38.8,null,125,晴
2025-11-26,哈尔滨,15:00,NA,-12.5,75,3.1,西北风,25.1,,1017.5,28.5,12,84,大雨
2025-03-18,上海,10:00,17.6,33.0,53,6.4,西风,nan,None,NAN,11.6,11,96,小雨
2025-06-14,大连,05:00,32.4,NaN,79,21.0,东风,7.4,10.3,1015.2,23.4,12,184,雾
2025-04-21,广州,07:00,36.8,30.3,51,24.0,NA,4.1,7.9,995.7,nan,10,237,阴
2025-03-15,青岛,22:00,30.4,41.5,78,12.2,西北风,31.6,19.3,NaN,0.6,5,null,多云
2025-10-08,苏州,00:00,-4.6,-4.2,NA,24.4,None,37.7,4.7,991.0,17.6,,nan,晴
2025-04-20,大连,09:00,27.0,4.4,80,7.5,,11.7,7.0,981.7,46.3,NAN,198,大雨
2025-06-13,西安,12:00,-2.0,22.9,NA,12.0,NaN,34.8,None,1013.2,19.8,0,NAN,小雪
2025-04-02,天津,21:00,,2.4,NAN,16.3,东南风,NaN,18.7,985.0,0.1,3,211,霾
2025-04-30,昆明,16:00,11.8,None,56,17.9,西北风,9.8,14.5,1039.4,,,,晴
2025-05-18,青岛,11:00,-1.6,None,85,23.1,南风,None,nan,999.0,null,8,None,小雪
2025-04-04,成都,20:00,null,0.1,46,19.2,西北风,nan,19.5,987.8,48.7,12,140,霾
2025-03-11,广州,05:00,18.9,15.1,73,NaN,东风,35.4,1.9,1010.5,null,7,252,大雨
