编号,物种,岛屿,性别,喙长_mm,喙深_mm,鳍肢长_mm,体重_g,窝卵数,巢穴类型,年龄_岁
PG0001,Chinstrap,Dream,MALE,51.4,17.7,195,3438,2,草地,6.6
PG0002,Gentoo,Biscoe,MALE,41.4,14.6,228,4968,2,草地,3.6
PG0003,Gentoo,Biscoe,MALE,49.6,15.2,229,5202,2,沙地,12.0
PG0004,Adelie,Biscoe,FEMALE,35.7,17.3,189,4327,2,草地,13.2
PG0005,Gentoo,Biscoe,MALE,46.7,15.3,218,4731,2,沙地,8.3
PG0006,Chinstrap,Dream,MALE,53.3,17.2,202,4392,2,岩石,9.5
PG0007,Gentoo,Biscoe,MALE,47.9,16.3,NaN,4785,1,岩石,NaN
PG0008,Adelie,Torgersen,MALE,43.0,19.7,185,3051,2,卵石,8.0
PG0009,Gentoo,Biscoe,NaN,49.2,15.9,217,NaN,2,岩石,6.4
PG0010,Adelie,Biscoe,MALE,35.4,18.2,201,3157,2,卵石,4.9
PG0011,Gentoo,Biscoe,MALE,45.2,15.9,210,5315,2,岩石,12.0
PG0012,Gentoo,Biscoe,MALE,50.4,15.8,213,4939,NaN,草地,3.3
PG0013,Chinstrap,Dream,MALE,52.4,16.2,185,3522,2,沙地,9.7
PG0014,Adelie,Biscoe,FEMALE,37.9,20.1,196,3467,2,沙地,6.9
PG0015,Chinstrap,Dream,FEMALE,47.4,19.9,192,3928,2,草地,12.5
PG0016,Gentoo,Biscoe,FEMALE,51.8,15.3,216,6049,2,草地,4.2
PG0017,Gentoo,Biscoe,MALE,47.6,14.3,213,6103,2,NaN,10.9
PG0018,Adelie,Biscoe,MALE,33.0,18.2,193,NaN,1,草地,11.6
PG0019,Adelie,Biscoe,MALE,38.4,19.4,186,4122,2,草地,13.8
PG0020,Adelie,Dream,FEMALE,39.8,19.5,190,3746,2,草地,2.6
PG0021,Gentoo,Biscoe,FEMALE,43.4,NaN,213,4410,2,卵石,6.0
PG0022,Adelie,Biscoe,FEMALE,40.9,20.9,193,3181,NaN,岩石,12.2
PG0023,Adelie,Biscoe,FEMALE,36.7,20.0,180,3239,2,草地,4.6
PG0024,Adelie,Dream,FEMALE,40.9,16.9,197,2670,2,岩石,6.8
PG0025,Gentoo,Biscoe,FEMALE,NaN,NaN,209,4248,1,草地,4.1
PG0026,Gentoo,Biscoe,MALE,NaN,17.1,220,5052,2,卵石,3.4
PG0027,Gentoo,Biscoe,FEMALE,47.5,15.1,221,4880,NaN,卵石,4.7
PG0028,Chinstrap,Dream,MALE,49.5,20.5,205,3576,2,草地,11.9
PG0029,Adelie,Torgersen,MALE,38.1,20.1,195,3112,2,卵石,7.0
PG0030,Adelie,Biscoe,MALE,37.6,18.0,195,4086,2,草地,8.0
PG0031,Adelie,Torgersen,MALE,33.8,16.4,183,3977,2,沙地,2.6
PG0032,Chinstrap,Dream,FEMALE,43.7,18.2,188,3846,2,岩石,14.5
PG0033,Adelie,Biscoe,FEMALE,39.1,17.6,205,4293,2,草地,10.8
PG0034,Gentoo,Biscoe,FEMALE,45.5,15.0,217,5575,1,岩石,2.5
PG0035,Gentoo,Biscoe,MALE,44.9,16.4,201,4584,2,草地,4.5
PG0036,Chinstrap,Dream,FEMALE,45.4,20.9,198,4128,1,岩石,13.2
PG0037,Adelie,Biscoe,MALE,40.9,20.4,208,NaN,2,卵石,8.5
PG0038,Gentoo,Biscoe,MALE,49.5,NaN,217,5654,2,卵石,10.2
PG0039,Gentoo,Biscoe,MALE,49.7,13.5,215,4456,3,沙地,8.5
PG0040,Gentoo,Biscoe,MALE,48.2,16.4,221,4892,2,岩石,8.2
PG0041,Chinstrap,Dream,FEMALE,51.6,20.4,205,3345,1,岩石,3.5
PG0042,Chinstrap,Dream,MALE,48.9,20.2,194,3801,2,岩石,3.3
PG0043,Gentoo,Biscoe,FEMALE,44.1,15.2,211,NaN,2,草地,4.3
PG0044,Gentoo,Biscoe,MALE,50.9,14.2,NaN,4937,3,沙地,13.5
PG0045,Adelie,Dream,FEMALE,40.3,NaN,181,3760,2,岩石,3.3
PG0046,Adelie,Dream,FEMALE,40.4,18.5,183,3497,2,岩石,8.5
PG0047,Chinstrap,Dream,FEMALE,45.0,19.3,186,3315,1,沙地,13.7
PG0048,Adelie,Biscoe,FEMALE,37.0,NaN,NaN,3779,2,沙地,NaN
PG0049,Adelie,Dream,FEMALE,40.9,18.0,190,3189,2,草地,8.1
PG0050,Gentoo,Biscoe,MALE,49.7,16.3,223,6042,2,沙地,2.5
PG0051,Adelie,Biscoe,MALE,36.0,18.4,191,3668,2,卵石,9.8
PG0052,Chinstrap,Dream,MALE,48.1,18.0,184,4298,3,草地,14.5
PG0053,Adelie,Torgersen,MALE,38.1,18.4,189,3135,2,沙地,13.0
PG0054,Gentoo,Biscoe,MALE,50.1,13.8,220,4905,2,沙地,6.8
PG0055,Gentoo,Biscoe,MALE,50.4,15.0,217,5513,1,草地,9.1
PG0056,Adelie,Dream,FEMALE,40.3,17.6,189,NaN,2,卵石,11.2
PG0057,Adelie,Dream,FEMALE,40.7,19.1,200,4619,2,NaN,3.8
PG0058,Gentoo,Biscoe,MALE,44.1,15.5,218,4211,2,岩石,3.4
PG0059,Adelie,Torgersen,MALE,38.5,18.8,197,3879,2,岩石,13.2
PG0060,Chinstrap,Dream,MALE,45.9,18.2,200,3204,2,岩石,8.0
PG0061,Chinstrap,Dream,FEMALE,53.1,18.3,186,4496,2,卵石,6.0
PG0062,Chinstrap,Dream,FEMALE,49.7,17.1,193,NaN,1,岩石,4.5
PG0063,Adelie,Biscoe,MALE,39.2,17.4,191,2926,2,草地,10.6
PG0064,Adelie,Dream,FEMALE,41.3,19.1,185,5736,2,卵石,8.1
PG0065,Adelie,Dream,FEMALE,41.3,18.9,186,3481,2,岩石,7.2
PG0066,Gentoo,Biscoe,FEMALE,49.2,14.9,227,4060,2,沙地,5.0
PG0067,Adelie,Torgersen,MALE,NaN,18.6,200,4796,1,卵石,11.6
PG0068,Chinstrap,Dream,FEMALE,47.1,17.4,199,3622,2,沙地,NaN
PG0069,Chinstrap,Dream,MALE,48.9,20.3,NaN,3743,1,卵石,7.1
PG0070,Gentoo,Biscoe,MALE,49.7,13.6,231,5158,2,沙地,7.0
PG0071,Adelie,Biscoe,MALE,37.9,18.7,187,4530,1,卵石,9.2
